#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_name,host,namespace,node_name,pod_name
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:40Z,7780479,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:50Z,7780479,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:00Z,8235367,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:10Z,8101583,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:20Z,7796854,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:30Z,7796854,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:40Z,7790422,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:50Z,7712553,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:00Z,7979469,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:10Z,7970103,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:20Z,7970103,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:30Z,8040319,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:40Z,7597281,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:50Z,8021733,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:00Z,8021733,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:10Z,3405825,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:20Z,884897,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
