#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_name,host,namespace,node_name,pod_name
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T18:00:00Z,4667580.097222222,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T19:00:00Z,4635427.025,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T20:00:00Z,4641491.138888889,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T21:00:00Z,4549026.263888889,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T22:00:00Z,4556849.363888889,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T23:00:00Z,4594788.344444444,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-28T00:00:00Z,4653144.422222222,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-28T01:00:00Z,4626114.341666667,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-28T02:00:00Z,4734830.352777778,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-28T03:00:00Z,4823974.319444444,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
